genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
PIGA|PNH1|MCAHS2	PIGA|NA|NA	PIGA	Paroxysmal nocturnal hemoglobinuria, somatic	None	311770	300818	X	pseudogene on chr.12
PIGA|PNH1|MCAHS2	PIGA|NA|NA	PIGA	Multiple congenital anomalies-hypotonia-seizures syndrome 2	X-linked recessive	311770	300868	X	pseudogene on chr.12
AP1S2|MRX59|MRXSF|MRXS21|MRXS5|PGS	AP1S2|AP1S2|NA|NA|AP1S2|AP1S2	AP1S2	Mental retardation, X-linked syndromic 5	X-linked recessive	300629	304340	X	NA
NHS|CXN|CTRCT40	NHS|NA|NA	NHS	Nance-Horan syndrome	X-linked dominant	300457	302350	X	NA
NHS|CXN|CTRCT40	NHS|NA|NA	NHS	Cataract 40, X-linked	X-linked	300457	302200	X	NA
MEHMO	MEHMO	MEHMO	MEHMO syndrome	None	300148	300148	X	NA
CDKL5|STK9|ISSX|EIEE2	CDKL5|CDKL5|ARX|CDKL5	CDKL5,ARX	Epileptic encephalopathy, early infantile, 2	X-linked dominant	300203	300672	X	NA
RS1|XLRS1	RS1,RSC1A1|RS1	RS1,RSC1A1	Retinoschisis	X-linked dominant	300839	312700	X	25cM from XG
PHKA2|PHK|XLG|PHK|PYKL|GSD9A	PHKA2|PHKA2|NA|PHKA2|NA|NA	PHKA2	Glycogen storage disease, type IXa2	X-linked recessive	300798	306000	X	NA
PHKA2|PHK|XLG|PHK|PYKL|GSD9A	PHKA2|PHKA2|NA|PHKA2|NA|NA	PHKA2	Glycogen storage disease, type IXa1	X-linked recessive	300798	306000	X	NA
PDHA1|PHE1A|PDHAD	PDHA1|NA|NA	PDHA1	Pyruvate dehydrogenase E1-alpha deficiency	X-linked dominant	300502	312170	X	NA
RPS6KA3|RSK2|MRX19	RPS6KA3|RPS6KA3|RPS6KA3	RPS6KA3	Mental retardation, X-linked 19	X-linked dominant	300075	300844	X	NA
RPS6KA3|RSK2|MRX19	RPS6KA3|RPS6KA3|RPS6KA3	RPS6KA3	Coffin-Lowry syndrome	X-linked dominant; Isolated cases	300075	303600	X	NA
SMPX|DFNX4	SMPX|SMPX	SMPX	Deafness, X-linked 4	X-linked dominant	300226	300066	X	NA
MBTPS2|S2P|IFAP|KFSDX|OLMSX	MBTPS2|MBTPS2|NA|NA|NA	MBTPS2	Keratosis follicularis spinulosa decalvans, X-linked	X-linked recessive	300294	308800	X	mutation identified in 1 OLMSX family
MBTPS2|S2P|IFAP|KFSDX|OLMSX	MBTPS2|MBTPS2|NA|NA|NA	MBTPS2	IFAP syndrome with or without BRESHECK syndrome	X-linked recessive	300294	308205	X	mutation identified in 1 OLMSX family
MBTPS2|S2P|IFAP|KFSDX|OLMSX	MBTPS2|MBTPS2|NA|NA|NA	MBTPS2	?Olmsted syndrome, X-linked	X-linked recessive	300294	300918	X	mutation identified in 1 OLMSX family
SMS|SRS|MRSR	RAI1,SMS|RSS,SMS|SMS	RAI1,SMS,RSS	Mental retardation, X-linked, Snyder-Robinson type	X-linked recessive	300105	309583	X	NA
PHEX|HYP|HPDR1|LXHR	PHEX|PHEX|PHEX|NA	PHEX	Hypophosphatemic rickets, X-linked dominant	X-linked dominant	300550	307800	X	NA
PTCHD1|AUTSX4	PTCHD1|NA	PTCHD1	Autism, susceptibility to, X-linked 4	X-linked recessive	300828	300830	X	NA
PDK3|CMTX6	PDK3|NA	PDK3	?Charcot-Marie-Tooth disease, X-linked dominant, 6	X-linked dominant	300906	300905	X	1 family identified with mutation
POLA1	POLA1	POLA1	?N syndrome	X-linked	312040	310465	X	proximal to ZFX
RP6	RP6	RP6	?Retinitis pigmentosa, X-linked recessive, 6	X-linked recessive	312612	312612	X	NA
ARX|ISSX|PRTS|MRXS1|MRX36|MRX54|MRX43|MRX87|MRX29|MRX32	ARX,UBA2|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX	ARX,UBA2	Hydranencephaly with abnormal genitalia	X-linked	300382	300215	X	NA
ARX|ISSX|PRTS|MRXS1|MRX36|MRX54|MRX43|MRX87|MRX29|MRX32	ARX,UBA2|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX	ARX,UBA2	Epileptic encephalopathy, early infantile, 1	X-linked recessive	300382	308350	X	NA
ARX|ISSX|PRTS|MRXS1|MRX36|MRX54|MRX43|MRX87|MRX29|MRX32	ARX,UBA2|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX	ARX,UBA2	Proud syndrome	X-linked	300382	300004	X	NA
ARX|ISSX|PRTS|MRXS1|MRX36|MRX54|MRX43|MRX87|MRX29|MRX32	ARX,UBA2|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX	ARX,UBA2	Partington syndrome	X-linked recessive	300382	309510	X	NA
ARX|ISSX|PRTS|MRXS1|MRX36|MRX54|MRX43|MRX87|MRX29|MRX32	ARX,UBA2|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX	ARX,UBA2	Mental retardation, X-linked 29 and others	None	300382	300419	X	NA
ARX|ISSX|PRTS|MRXS1|MRX36|MRX54|MRX43|MRX87|MRX29|MRX32	ARX,UBA2|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX|ARX	ARX,UBA2	Lissencephaly, X-linked 2	X-linked	300382	300215	X	NA
IL1RAPL1|IL1R8|MRX21|MRX34	IL1RAPL1|IL1RAPL1|IL1RAPL1|IL1RAPL1	IL1RAPL1	Mental retardation, X-linked 21/34	X-linked recessive	300206	300143	X	NA
DFNX3|DFN4	DFNX3|DFNX3	DFNX3	Deafness, X-linked 3	X-linked	300030	300030	X	?same as DMD
DAX1|AHC|AHX|NR0B1|SRXY2	NR0B1|NR0B1|NA|NR0B1|NA	NR0B1	Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	X-linked recessive	300473	300200	X	distal to GK
DAX1|AHC|AHX|NR0B1|SRXY2	NR0B1|NR0B1|NA|NR0B1|NA	NR0B1	46XY sex reversal 2, dosage-sensitive	X-linked	300473	300018	X	distal to GK
GK	GK	GK	Glycerol kinase deficiency	X-linked recessive	300474	307030	X	2Mb distal to DMD; pseudogene on 4q32
DMD|BMD|CMD3B	DMD|BEST1,DMD|NA	BEST1,DMD	Duchenne muscular dystrophy	X-linked recessive	300377	310200	X	dystrophin gene; cen-5'-3'-pter; 2Mb; ?Xp21.13
DMD|BMD|CMD3B	DMD|BEST1,DMD|NA	BEST1,DMD	Cardiomyopathy, dilated, 3B	X-linked	300377	302045	X	dystrophin gene; cen-5'-3'-pter; 2Mb; ?Xp21.13
DMD|BMD|CMD3B	DMD|BEST1,DMD|NA	BEST1,DMD	Becker muscular dystrophy	X-linked recessive	300377	300376	X	dystrophin gene; cen-5'-3'-pter; 2Mb; ?Xp21.13
XK|MCLDS	XK|NA	XK	McLeod syndrome with or without chronic granulomatous disease	None	314850	300842	X	~500kb distal to CGD
CYBB|CGD|AMCBX2|IMD34	CYBB|CYBB|NA|NA	CYBB	Chronic granulomatous disease, X-linked	X-linked recessive	300481	306400	X	proximal to DMD
CYBB|CGD|AMCBX2|IMD34	CYBB|CYBB|NA|NA	CYBB	Immunodeficiency 34, mycobacteriosis, X-linked	X-linked recessive	300481	300645	X	proximal to DMD
MRX20	MRX20	MRX20	Mental retardation, X-linked 20	X-linked	300047	300047	X	NA
MRX78	MRX78	MRX78	Mental retardation, X-linked 78	None	300551	300551	X	max lod with DXS8054 and DXS1003
OPA2	OPA2	OPA2	Optic atrophy 2, X-linked	X-linked	311050	311050	X	NA
PRS|MRXS2	PRS|PRS	PRS	Prieto syndrome	X-linked recessive	309610	309610	X	NA
RPGR|RP3|CRD|RP15|COD1|CORDX1	RPGR|MAPRE3,RPGR|CRX,RPGR|RPGR|COG4,RPGR|RPGR	RPGR,CRX,MAPRE3,COG4	Retinitis pigmentosa 3	None	312610	300029	X	NA
RPGR|RP3|CRD|RP15|COD1|CORDX1	RPGR|MAPRE3,RPGR|CRX,RPGR|RPGR|COG4,RPGR|RPGR	RPGR,CRX,MAPRE3,COG4	Macular degeneration, X-linked atrophic	None	312610	300834	X	NA
RPGR|RP3|CRD|RP15|COD1|CORDX1	RPGR|MAPRE3,RPGR|CRX,RPGR|RPGR|COG4,RPGR|RPGR	RPGR,CRX,MAPRE3,COG4	Cone-rod dystrophy, X-linked, 1	X-linked	312610	304020	X	NA
RPGR|RP3|CRD|RP15|COD1|CORDX1	RPGR|MAPRE3,RPGR|CRX,RPGR|RPGR|COG4,RPGR|RPGR	RPGR,CRX,MAPRE3,COG4	Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness	None	312610	300455	X	NA
OTC	OTC	OTC	Ornithine transcarbamylase deficiency	X-linked recessive	300461	311250	X	proximal to DMD, CGD
TSPAN7|TM4SF2|MXS1|A15|MRX58	TSPAN7|TSPAN7|TSPAN7|TSPAN7|TSPAN7	TSPAN7	Mental retardation, X-linked 58	None	300096	300210	X	NA
BCOR|KIAA1575|MCOPS2|MAA2|ANOP2	BCOR|BCOR|NA|NA|NA	BCOR	Microphthalmia, syndromic 2	X-linked dominant	300485	300166	X	NA
ATP6AP2|ATP6M8-9|XMRE|MRXSH|XPDS	ATP6AP2|ATP6AP2|NA|NA|NA	ATP6AP2	?Parkinsonism with spasticity, X-linked	Autosomal recessive	300556	300911	X	mutation identified in 1 MRXSH family and 1 XPDS family
ATP6AP2|ATP6M8-9|XMRE|MRXSH|XPDS	ATP6AP2|ATP6AP2|NA|NA|NA	ATP6AP2	?Mental retardation, X-linked, syndromic, Hedera type	X-linked recessive	300556	300423	X	mutation identified in 1 MRXSH family and 1 XPDS family
USP9X|DFFRX|MRX99|MRXS99F	USP9X|USP9X|USP9X|NA	USP9X	Mental retardation, X-linked 99, syndromic, female-restricted	X-linked dominant	300072	300968	X	NA
USP9X|DFFRX|MRX99|MRXS99F	USP9X|USP9X|USP9X|NA	USP9X	Mental retardation, X-linked 99	X-linked recessive	300072	300919	X	NA
DDX3X|DDX3|DBX|MRX102	DDX3X|DDX3X|DDX3X|NA	DDX3X	Mental retardation, X-linked 102	X-linked dominant; X-linked recessive	300160	300958	X	NA
NYX|CSNB1A|NBM1	NYX|NYX|NA	NYX	Night blindness, congenital stationary (complete), 1A, X-linked	X-linked recessive	300278	310500	X	NA
CASK|MICPCH|FGS4|CMG|MRXSNA	CASK|NA|CASK|NA|NA	CASK	Mental retardation, with or without nystagmus	None	300172	300422	X	NA
CASK|MICPCH|FGS4|CMG|MRXSNA	CASK|NA|CASK|NA|NA	CASK	Mental retardation and microcephaly with pontine and cerebellar hypoplasia	X-linked dominant	300172	300749	X	NA
CASK|MICPCH|FGS4|CMG|MRXSNA	CASK|NA|CASK|NA|NA	CASK	FG syndrome 4	None	300172	300422	X	NA
MRX14	MRX14	MRX14	Mental retardation, X-linked 14	X-linked	300062	300062	X	NA
MRX50	MRX50	MRX50	Mental retardation, X-linked 50	None	300115	300115	X	NA
MRX84	MRX84	MRX84	Mental retardation, X-linked 84	None	300505	300505	X	29 other MRX loci in same region
MRX89	ZNF41	ZNF41	Mental retardation, X-linked 89	X-linked dominant	300848	300848	X	t(X;7)(p11.3;q11.21)
MRX92	ZNF674	ZNF674	Mental retardation, X-linked 92	None	300851	300851	X	previously associated with ZNF674
MRXS7	MRXS7	MRXS7	Mental retardation, X-linked syndromic 7	None	300218	300218	X	NA
MAOA	MAOA	MAOA	Brunner syndrome	X-linked recessive	309850	300615	X	NDP, MAOA, MAOB closely linked
NDP|ND|EVR2	NDP|NA|NDP	NDP	Norrie disease	X-linked recessive	300658	310600	X	NA
NDP|ND|EVR2	NDP|NA|NDP	NDP	Exudative vitreoretinopathy 2, X-linked	None	300658	305390	X	NA
KDM6A|UTX|KABUK2	KDM6A|KDM6A|NA	KDM6A	Kabuki syndrome 2	X-linked dominant	300128	300867	X	UTY also in mouse and man; escapes inactivation
RP2	NUDT19,RP2,STK19B	NUDT19,STK19B,RP2	Retinitis pigmentosa 2	X-linked recessive	300757	312600	X	NA
NDUFB11|LSDMCA3	NDUFB11|NA	NDUFB11	Linear skin defects with multiple congenital anomalies 3	X-linked dominant	300403	300952	X	NA
RBM10|DXS8237E|KIAA0122|TARPS	RBM10|RBM10|RBM10|NA	RBM10	TARP syndrome	X-linked recessive	300080	311900	X	NA
UBA1|UBE1|GXP1|A1ST|SMAX2|AMCX1	UBA1|UBA1|UBA1|NA|NA|NA	UBA1	Spinal muscular atrophy, X-linked 2, infantile	X-linked recessive	314370	301830	X	escapes inactivation
SYN1	SYN1	SYN1	Epilepsy, X-linked, with variable learning disabilities and behavior disorders	X-linked dominant; X-linked recessive	313440	300491	X	5kb from PFC
MRX81	MRX81	MRX81	Mental retardation, X-linked 81	None	300433	300433	X	between DXS1039 and DXS1216
PFC|PFD	CFP|CFD	CFD,CFP	Properdin deficiency, X-linked	X-linked recessive	300383	312060	X	NA
ZNF81|MRX45	ZNF81|ZNF81	ZNF81	Mental retardation, X-linked 45	None	314998	300498	X	NA
SSX1|SSRC	SSX1|NA	SSX1	?Sarcoma, synovial	None	312820	300813	X	fused with SYT in synovial sarcoma
FTSJ1|JM23|SPB1|MRX44|MRX9	FTSJ1|FTSJ1|FTSJ1,FTSJ3|FTSJ1|FTSJ1	FTSJ3,FTSJ1	Mental retardation, X-linked 9	None	300499	309549	X	NA
PORCN|PORC|DHOF|FODH	PORCN|HMBS,PORCN|PORCN|NA	HMBS,PORCN	Focal dermal hypoplasia	X-linked dominant	300651	305600	X	NA
EBP|CDPX2|CPXD|CPX|MEND	EBP,GLB1,SH3D19|EBP|EBP|CPOX,EBP,TBX22|NA	SH3D19,CPOX,TBX22,EBP,GLB1	MEND syndrome	X-linked recessive	300205	300960	X	NA
EBP|CDPX2|CPXD|CPX|MEND	EBP,GLB1,SH3D19|EBP|EBP|CPOX,EBP,TBX22|NA	SH3D19,CPOX,TBX22,EBP,GLB1	Chondrodysplasia punctata, X-linked dominant	X-linked dominant	300205	302960	X	NA
WAS|IMD2|THC1|SCNX	WAS|WAS|NA|NA	WAS	Thrombocytopenia, X-linked	X-linked recessive	300392	313900	X	t(18;X)(q11.2;p11.2); distal to TIMP
WAS|IMD2|THC1|SCNX	WAS|WAS|NA|NA	WAS	Neutropenia, severe congenital, X-linked	X-linked recessive	300392	300299	X	t(18;X)(q11.2;p11.2); distal to TIMP
WAS|IMD2|THC1|SCNX	WAS|WAS|NA|NA	WAS	Wiskott-Aldrich syndrome	X-linked recessive	300392	301000	X	t(18;X)(q11.2;p11.2); distal to TIMP
WAS|IMD2|THC1|SCNX	WAS|WAS|NA|NA	WAS	Thrombocytopenia, X-linked, intermittent	X-linked recessive	300392	313900	X	t(18;X)(q11.2;p11.2); distal to TIMP
GATA1|GF1|ERYF1|NFE1|XLTDA|XLTT|XLANP	GATA1|GATA1,SOS1|GATA1|GATA1|NA|NA|NA	SOS1,GATA1	Thrombocytopenia with beta-thalassemia, X-linked	X-linked recessive	305371	314050	X	NA
GATA1|GF1|ERYF1|NFE1|XLTDA|XLTT|XLANP	GATA1|GATA1,SOS1|GATA1|GATA1|NA|NA|NA	SOS1,GATA1	Leukemia, megakaryoblastic, with or without Down syndrome, somatic	None	305371	190685	X	NA
GATA1|GF1|ERYF1|NFE1|XLTDA|XLTT|XLANP	GATA1|GATA1,SOS1|GATA1|GATA1|NA|NA|NA	SOS1,GATA1	Anemia, X-linked, with/without neutropenia and/or platelet abnormalities	X-linked recessive	305371	300835	X	NA
GATA1|GF1|ERYF1|NFE1|XLTDA|XLTT|XLANP	GATA1|GATA1,SOS1|GATA1|GATA1|NA|NA|NA	SOS1,GATA1	Thrombocytopenia, X-linked, with or without dyserythropoietic anemia	X-linked recessive	305371	300367	X	NA
HDAC6|CPBHM	HDAC6|NA	HDAC6	?Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia	X-linked dominant	300272	300863	X	mutation identified in 1 CPBHM family
PQBP1|NPW38|SHS|MRX55|MRXS3|RENS1|MRXS8	PQBP1|NA|PQBP1|PQBP1|NA|PQBP1|PQBP1	PQBP1	Renpenning syndrome	X-linked recessive	300463	309500	X	NA
SLC35A2|UGALT|UGTL|UGT2|CDGX|CDG2M	SLC35A2|SLC35A2|SLC35A2|SLC35A2|NA|NA	SLC35A2	Congenital disorder of glycosylation, type IIm	Somatic mosaicism; X-linked dominant	314375	300896	X	NA
TFE3|RCCX1	TFE3|NA	TFE3	Renal cell carcinoma, papillary, 1	None	314310	300854	X	fuses with PRCC in RCCP
WDR45|WIPI4|NBIA5	WDR45|WDR45|WDR45	WDR45	Neurodegeneration with brain iron accululation 5	X-linked dominant	300526	300894	X	?pseudogene on 4q31.3
SYP|MRXSYP	SYP|NA	SYP	Mental retardation, X-linked 96	X-linked dominant	313475	300802	X	NA
CACNA1F|CSNB2|CORDX3|CSNB2A|AIED|OA2	CACNA1F|CACNA1F|CACNA1F|CACNA1F|CACNA1F|CACNA1F	CACNA1F	Cone-rod dystrophy, X-linked, 3	X-linked recessive	300110	300476	X	NA
CACNA1F|CSNB2|CORDX3|CSNB2A|AIED|OA2	CACNA1F|CACNA1F|CACNA1F|CACNA1F|CACNA1F|CACNA1F	CACNA1F	Aland Island eye disease	X-linked	300110	300600	X	NA
CACNA1F|CSNB2|CORDX3|CSNB2A|AIED|OA2	CACNA1F|CACNA1F|CACNA1F|CACNA1F|CACNA1F|CACNA1F	CACNA1F	Night blindness, congenital stationary (incomplete), 2A, X-linked	X-linked	300110	300071	X	NA
CCDC22|RTSC2	CCDC22|NA	CCDC22	Ritscher-Schinzel syndrome 2	X-linked recessive	300859	300963	X	NA
FOXP3|IPEX|AIID|XPID|PIDX	FOXP3|FOXP3|FOXP3|FOXP3|FOXP3	FOXP3	Diabetes mellitus, type I, susceptibility to	Autosomal recessive	300292	222100	X	NA
FOXP3|IPEX|AIID|XPID|PIDX	FOXP3|FOXP3|FOXP3|FOXP3|FOXP3	FOXP3	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked	X-linked recessive	300292	304790	X	NA
CLCN5|CLCK2|NPHL2|DENTS|NPHL1	CLCN5|NA|CLCN5|CLCN5|CLCN5	CLCN5	Hypophosphatemic rickets	X-linked recessive	300008	300554	X	NA
CLCN5|CLCK2|NPHL2|DENTS|NPHL1	CLCN5|NA|CLCN5|CLCN5|CLCN5	CLCN5	Dent disease	X-linked recessive	300008	300009	X	NA
CLCN5|CLCK2|NPHL2|DENTS|NPHL1	CLCN5|NA|CLCN5|CLCN5|CLCN5	CLCN5	Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis	X-linked recessive	300008	308990	X	NA
CLCN5|CLCK2|NPHL2|DENTS|NPHL1	CLCN5|NA|CLCN5|CLCN5|CLCN5	CLCN5	Nephrolithiasis, type I	X-linked recessive	300008	310468	X	NA
DUPXp11.22|MRX17|MRX31	NA|MRX17|MRX31	MRX31,MRX17	Xp11.22 microduplication syndrome	None	300705	300705	X	minimal duplicated region 228 kb overlapping HUWE1 and HSD17B10
SHROOM4|KIAA1202|SDSX	SHROOM4|SHROOM4|NA	SHROOM4	?Stocco dos Santos X-linked mental retardation syndrome	None	300579	300434	X	mutation identified in 1 SDSX family
BMP15|GDF9B|ODG2|POF4	BMP15|BMP15|NA|NA	BMP15	Premature ovarian failure 4	None	300247	300510	X	NA
BMP15|GDF9B|ODG2|POF4	BMP15|BMP15|NA|NA	BMP15	Ovarian dysgenesis 2	None	300247	300510	X	NA
SSX2	SSX2	SSX2	?Sarcoma, synovial	None	300192	300813	X	NA
KDM5C|JARID1C|SMCX|DXS1272E|XE169|MRXSCJ	KDM5C|KDM5C|KDM5C|KDM5C|KDM5C|NA	KDM5C	Mental retardation, X-linked, syndromic, Claes-Jensen type	X-linked recessive	314690	300534	X	escapes inactivation
IQSEC2|KIAA0522|MRX1|MRX78	IQSEC2|IQSEC2|IQSEC2|MRX78	MRX78,IQSEC2	Mental retardation, X-linked 1/78	X-linked dominant	300522	309530	X	NA
DXS423E|SMC1|CDLS2	SMC1A|NA|NA	SMC1A	Cornelia de Lange syndrome 2	X-linked dominant	300040	300590	X	escapes lyonization
HSD17B10|HADH2|ERAB|MRXS10	HSD17B10|HSD17B10|HSD17B10|HSD17B10	HSD17B10	17-beta-hydroxysteroid dehydrogenase X deficiency	X-linked dominant	300256	300438	X	mutation identified in 1 MRXS10 family
HSD17B10|HADH2|ERAB|MRXS10	HSD17B10|HSD17B10|HSD17B10|HSD17B10	HSD17B10	?Mental retardation, X-linked syndromic 10	X-linked recessive	300256	300220	X	mutation identified in 1 MRXS10 family
HUWE1|UREB1|KIAA0312|LASU1	HUWE1|HUWE1|HUWE1|NA	HUWE1	Mental retardation, X-linked syndromic, Turner type	None	300697	300706	X	NA
PHF8|ZNF422|KIAA1111|MRXSSD	PHF8|PHF8,ZNF22|PHF8|NA	PHF8,ZNF22	Mental retardation syndrome, X-linked, Siderius type	None	300560	300263	X	NA
TSR2|WGG1|DBA14	TSR2|TSR2|NA	TSR2	?Diamond-Blackfan anemia 14 with mandibulofacial dysostosis	X-linked recessive	300945	300946	X	mutation identified in 1 DBA14 family
FGD1|FGDY|AAS|MRXS16	FGD1|FGD1|NA|NA	FGD1	Mental retardation, X-linked syndromic 16	X-linked recessive	300546	305400	X	NA
FGD1|FGDY|AAS|MRXS16	FGD1|FGD1|NA|NA	FGD1	Aarskog-Scott syndrome	X-linked recessive	300546	305400	X	NA
MRX52	MRX52	MRX52	Mental retardation, X-linked 52	None	300504	300504	X	max lod at DXS559
MAGED2|MAGED|BARTS5	MAGED2|MAGED2|NA	MAGED2	Bartter syndrome, type 5, antenatal, transient	None	300470	300971	X	NA
ALAS2|ANH1|ASB|XLEPP|XLSA|ANH1|SIDBA1	ALAS2|NA|ALAS2|NA|NA|NA|NA	ALAS2	Protoporphyria, erythropoietic, X-linked	X-linked dominant	301300	300752	X	NA
ALAS2|ANH1|ASB|XLEPP|XLSA|ANH1|SIDBA1	ALAS2|NA|ALAS2|NA|NA|NA|NA	ALAS2	Anemia, sideroblastic, 1	X-linked recessive	301300	300751	X	NA
UBQLN2|PLIC2|CHAP1|ALS15	UBQLN2|UBQLN2|NA|NA	UBQLN2	Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia	X-linked dominant	300264	300857	X	NA
CGF1	CGF1	CGF1	Social cognition	X-linked	300082	300082	X	imprinted locus
ARHGEF9|PEM2|KIAA0424|EIEE8	ARHGEF9|NA|ARHGEF9|NA	ARHGEF9	Epileptic encephalopathy, early infantile, 8	X-linked recessive	300429	300607	X	NA
SPG16	SPG16	SPG16	Spastic paraplegia 16, X-linked, complicated	X-linked recessive	300266	300266	X	NA
AMER1|FAM123B|WTX|OSCS	AMER1|AMER1|AMER1|NA	AMER1	Osteopathia striata with cranial sclerosis	X-linked dominant	300647	300373	X	NA
ZC4H2|KIAA1166|WRWF	ZC4H2|ZC4H2|NA	ZC4H2	Wieacker-Wolff syndrome	X-linked recessive	300897	314580	X	NA
MRX77	MRX77	MRX77	Mental retardation, X-linked 77	None	300454	300454	X	NA
MRXS9	RENS2	RENS2	Mental retardation, X-linked, syndromic 9	None	300709	300709	X	between DXS1111 and DXS1197
AR|DHTR|TFM|SBMA|KD|SMAX1|HYSP1	AKR1B1,AR|AR|NA|AR|NA|AR|NA	AKR1B1,AR	Prostate cancer, susceptibility to	Autosomal dominant	313700	176807	X	NA
AR|DHTR|TFM|SBMA|KD|SMAX1|HYSP1	AKR1B1,AR|AR|NA|AR|NA|AR|NA	AKR1B1,AR	Spinal and bulbar muscular atrophy of Kennedy	X-linked recessive	313700	313200	X	NA
AR|DHTR|TFM|SBMA|KD|SMAX1|HYSP1	AKR1B1,AR|AR|NA|AR|NA|AR|NA	AKR1B1,AR	Hypospadias 1, X-linked	X-linked recessive	313700	300633	X	NA
AR|DHTR|TFM|SBMA|KD|SMAX1|HYSP1	AKR1B1,AR|AR|NA|AR|NA|AR|NA	AKR1B1,AR	Androgen insensitivity, partial, with or without breast cancer	X-linked recessive	313700	312300	X	NA
AR|DHTR|TFM|SBMA|KD|SMAX1|HYSP1	AKR1B1,AR|AR|NA|AR|NA|AR|NA	AKR1B1,AR	Androgen insensitivity	X-linked recessive	313700	300068	X	NA
OPHN1|MRX60	OPHN1|OPHN1	OPHN1	Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance	X-linked recessive	300127	300486	X	NA
MCS|MRXS4	MCS|MCS	MCS	Miles-Carpenter syndrome	X-linked	309605	309605	X	linked to DXYS1
EFNB1|EPLG2|CFNS|CFND	EFNB1|EFNB1|EFNB1|NA	EFNB1	Craniofrontonasal dysplasia	X-linked dominant	300035	304110	X	?CFNS also on Xp22
EDA|ED1|ECTD1|EDA|HED1|STHAGX1	EDA|EDA|NA|EDA|NA|NA	EDA	Tooth agenesis, selective, X-linked 1	X-linked dominant	300451	313500	X	NA
EDA|ED1|ECTD1|EDA|HED1|STHAGX1	EDA|EDA|NA|EDA|NA|NA	EDA	Ectodermal dysplasia 1, hypohidrotic, X-linked	X-linked recessive	300451	305100	X	NA
IGBP1	IGBP1	IGBP1	Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia	X-linked recessive	300139	300472	X	NA
KIF4A|KIF4|MRX100	KIF4A|KIF4A|KIF4A	KIF4A	?Mental retardation, X-linked 100	X-linked recessive	300521	300923	X	mutation identified in 1 MRX100 family
DLG3|NEDLG|SAP102|MRX90	DLG3,MPP3|DLG3|DLG3|DLG3	MPP3,DLG3	Mental retardation, X-linked 90	X-linked recessive	300189	300850	X	NA
TEX11|SPGFX2	TEX11|NA	TEX11	Spermatogenic failure, X-linked, 2	X-linked recessive	300311	309120	X	NA
IL2RG|SCIDX1|SCIDX|IMD4	IL2RG|IL2RG|NA|IL2RG	IL2RG	Combined immunodeficiency, X-linked, moderate	X-linked recessive	308380	312863	X	linked to DXS159
IL2RG|SCIDX1|SCIDX|IMD4	IL2RG|IL2RG|NA|IL2RG	IL2RG	Severe combined immunodeficiency, X-linked	X-linked recessive	308380	300400	X	linked to DXS159
MED12|TNRC11|TRAP230|HOPA|KIAA0192|OKS|FGS1|OHDOX	MED12|MED12|MED12|MED12|MED12|MED12|MED12|NA	MED12	Opitz-Kaveggia syndrome	X-linked recessive	300188	305450	X	NA
MED12|TNRC11|TRAP230|HOPA|KIAA0192|OKS|FGS1|OHDOX	MED12|MED12|MED12|MED12|MED12|MED12|MED12|NA	MED12	Ohdo syndrome, X-linked	X-linked recessive	300188	300895	X	NA
MED12|TNRC11|TRAP230|HOPA|KIAA0192|OKS|FGS1|OHDOX	MED12|MED12|MED12|MED12|MED12|MED12|MED12|NA	MED12	Lujan-Fryns syndrome	X-linked recessive	300188	309520	X	NA
NLGN3|ASPGX1|AUTSX1	NLGN3|NLGN3|NLGN3	NLGN3	Autism susceptibility, X-linked 1	Multifactorial; X-linked; Isolated cases	300336	300425	X	NA
NLGN3|ASPGX1|AUTSX1	NLGN3|NLGN3|NLGN3	NLGN3	Asperger syndrome susceptibility, X-linked 1	Multifactorial; X-linked; Isolated cases	300336	300494	X	NA
GJB1|CX32|CMTX1	GJB1|GJB1|GJB1	GJB1	Charcot-Marie-Tooth neuropathy, X-linked dominant, 1	X-linked dominant	304040	302800	X	NA
NONO|NRB54|MRXS34	NONO|NONO|NA	NONO	Mental retardation, X-linked, syndromic 34	Autosomal dominant	300084	300967	X	2Mb proximal to PHKA1
TAF1|TAF2A|CCG1|BA2R|DYT3|MRXS33	TAF1|TAF1,TAF10|TAF1|TAF1|TAF1|NA	TAF10,TAF1	Mental retardation, X-linked, syndromic 33	X-linked recessive	313650	300966	X	SVA retrotransposon insertion
